Region/Country,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,Jan_21,Feb_21,Mar_21,Apr_21,May_21,Jun_21,Jul_21,Aug_21,Sep_21,Oct_21,Nov_21,Dec_21,Jan_22,Feb_22,Mar_22,Apr_22,May_22,Jun_22,Jul_22,Aug_22,Sep_22,Oct_22,Nov_22,Dec_22,Jan_23,Feb_23,Mar_23,Apr_23,May_23,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,Dec_23,Jan_24,Feb_24,Mar_24,Apr_24,May_24,Jun_24,Jul_24,Aug_24,Sep_24,Oct_24,Nov_24,Dec_24,Jan_25,Feb_25,Mar_25,Apr_25,May_25,Jun_25,Jul_25,Aug_25,Sep_25
    America,124196.4,111452.32000000004,124352.30264,123771.5,146454.89,149087.48,144604.73,159736.80393695983,164824.88939999996,160787.7404,156761.57200000001,174973.56000000003,175985.93845374376,160148.97962263323,174013.20733416534,182211.80432306026,193580.49319284444,189435.4240849191,206777.7159989333,193181.26660101,200029.3589682956,226392.02989964373,215444.41193792503,227854.11601468877,215788.9185966113,192409.79794291157,222682.5707078732,219320.8877786738,203222.69023325015,193022.1928422582,192749.84906995553,187344.14991763924,193244.60643857397,198879.2814773996,200979.12844602,206660.29077794898,212286.06829850152,189261.9145733108,212355.19487188107,188224.75006802782,195428.72093875814,195714.88503822795,217817.49418292646,202395.411720297,194979.5190331036,203283.78115691242,203492.07310259974,222450.7875620747,227925.4701910044,215427.31323174425,226252.41358320785,214202.89628597072,226093.62101602892,207337.20921238977,227861.01674208912,250265.83246848377,243512.01321521788,247838.490260494,243022.43336367857,248333.79291469534,243475.72556625505,215759.59528326872,238916.08284587378,252148.7960948236,252140.15990209187,244822.86635952964,241434.3569192096,258275.68639436402,246073.46846468828
    Europe,48546.0,40992.39,44823.1856,40405.74,43209.29000000001,43904.590000000004,50003.95,48321.34000000001,40842.369999999995,51484.956999999995,51174.888000000006,60512.91,52595.61491355064,51602.95667482418,62039.11525781503,63424.28852957722,65876.03694197121,61231.7543978464,70319.51942027026,58694.150960153405,52371.292856579916,46039.27235779992,40319.54465755289,52088.05862983486,57066.75950269732,55793.493263505174,63219.36424264447,60266.08982633044,59657.58888719193,58490.18398548405,55076.01358475488,52934.2291393465,54697.35035339561,61529.27911280288,65808.05505818554,66779.76767266018,59333.22398387811,55855.160495054704,65642.41092359842,51912.00136396821,61684.51208624756,66029.47354069838,69430.23015300496,61197.15428206605,66159.0783238667,63437.11577814634,60735.130678502515,62642.80011018288,85006.96796912076,68826.1649017786,69600.38716707875,76999.7822558392,67393.18244740111,61202.854997024086,72564.70817211113,67565.86478621939,69462.82444498225,70513.84320802963,69854.7861297712,73029.7263929773,70088.43719741562,69985.55823258383,75048.40740402487,70529.59853374485,77900.77823776868,79432.01173720192,72104.87639238377,77191.74092978968,80259.0060668766
    Asia,27979.696,24885.950000000004,25151.1814,25662.199999999997,31662.560000000005,34517.869999999995,39749.85999999999,37000.91,34948.62,28633.853999999996,29366.699999999997,32287.88999999999,28045.950926397083,26465.242576960714,30795.630603917798,28992.528251125223,32657.774803657925,30659.844465483035,34819.61659210502,36159.6953791385,33414.17563140821,38973.169876728374,41299.40431807188,46470.65074215699,42788.244264617155,42522.209975991136,47446.1855610714,47021.533594005676,49189.703115408636,48491.83628233296,43242.50152466933,45653.30129913473,46195.92239078064,46363.579781863045,48763.76831965016,52338.67114633842,46478.06739946278,39006.91896938372,53661.61881632016,48146.382612936155,55694.89185066081,47990.36279604822,46704.94847435963,48233.66530493023,39845.742009532165,48210.13699589179,47536.455703002175,49943.58713862306,55086.79988592605,55787.079197242965,62801.02590062909,61717.433200393665,65055.324710635025,60904.81284684017,65650.29786244337,59751.17729276772,56481.617147239085,63462.01561725391,59081.553829912235,62371.79149631044,64654.467906492384,56326.52482490823,64509.7156647749,55177.72842663394,60264.11847554946,54259.6327238953,52022.990889421395,41185.262230465414,43034.340088608245
    Africa,50612.869999999995,35230.01999999999,28915.84927,13031.87,29292.84,53316.81,36702.16,23924.487607831652,15008.709,15507.752999999999,10988.384999999998,20418.780000000006,11585.017780366665,12844.519416155863,14666.201874615788,13383.702837775123,13504.58869770006,14175.618013048164,13970.342003866323,14266.265312494956,15479.689955924223,19026.029034608397,16892.090543553804,18160.491435332864,15498.499160529578,20078.3813433171,17588.122884631426,15850.555784605416,15206.922935818331,15065.595263977659,16849.451346435144,14642.575259415784,16845.27352716791,15219.019951928376,20429.1883033811,22181.526531362048,20110.373092826543,16880.413392329287,17293.839252504815,23051.553741809763,31319.416548495195,25189.278138245816,30551.80943879132,29999.999061264,26692.348949406907,27018.790779504896,31300.173620286485,25797.6397161607,31503.30612960287,33770.072813131985,36510.7956677087,23735.510813237714,30216.292866154192,28034.674797844564,30100.968024046255,26197.80388761941,29823.769928733425,34465.78844764859,30482.313219748085,38665.23722670943,26161.08844468013,20980.374888190974,24023.530891089664,24749.163745509522,25029.13554355928,22787.608168535397,24770.03944912105,26737.94653635379,26201.727079549506
    Australia and Oceania,6002.419999999999,4715.219999999999,4296.548,4582.800000000002,6713.36,7125.22,5445.170000000001,4275.62,4400.97,5665.770000000001,8580.720000000001,10231.810000000001,8802.62634005216,8631.041525258992,8664.28251227925,9846.239306342812,9079.682025925778,8240.872676059671,9561.593753401312,9618.593252856845,7214.124542531022,4789.872972305786,3764.625400298363,4878.851949670185,6820.526985099772,9732.64546535193,11145.233112428552,11633.762659235552,10966.72478042905,10160.66881732437,10447.152690644127,8219.252555648913,6169.523776897301,8597.36797979097,7850.65276865231,7981.357560154949,9813.966148070947,6703.384152043248,6565.378028905172,4916.4005994134595,6310.200876486975,9109.901328033902,12109.873107195199,10982.975513070674,11612.612966441533,11960.514067328026,9927.50157140116,10612.875099180195,11388.261740315114,10932.722327402698,11274.058607892277,18323.852375288996,13747.99623902102,12490.591936444449,16100.406359615283,19039.204967692607,17327.237083189015,19085.942824735164,18482.559472307676,20096.00373753817,21013.167623900714,17600.56112904193,18477.20786704458,17884.594732901383,20517.4001547432,19495.685071958706,18301.658114776455,20211.45898905157,20633.399465629915
    Other Countries NES,2055.320971320616,1716.0300000000934,1271.7160999998887,763.6200000001627,817.1300000000119,592.3999999999214,481.79999999961,879.27810964331,646.850000000115,1020.820000000007,813.3000000000684,874.1799999999785,1331.4957969814932,593.0333100065909,592.7516520114223,1431.8234802133957,1103.2341900182946,2158.2102431710737,1262.6997497586126,1011.231338450576,1295.788045954374,2192.180747378865,2353.542607710653,1110.2087577439088,756.8055699276301,995.2488596538024,1500.1795313640469,944.3157802610367,1439.5967513398646,829.3136004839835,1039.3203358619648,1713.534006452057,828.3151031598318,2040.7865648040024,1617.8722818618262,1357.069023992357,1370.129046755028,1464.908254170652,1462.027660823369,4065.511433104002,1668.0587920577964,1828.9185391259525,1438.656360850713,1623.634871687107,1154.8759686007543,1713.4906184259526,1974.840955096588,1122.2532192187427,1499.2384458965535,1190.3233347378118,1333.514803638769,2317.085069269684,1940.9727207598044,1622.6522151997415,1980.246394595495,4380.843720982899,1887.8503131527686,1815.9554259841243,2325.2207841389027,2888.789886778657,1981.7297980388394,1592.0913694187475,1921.782715438574,2401.414360369323,4224.7414748264855,2035.7422538119135,1459.135583214942,2531.278739169138,3423.1844912279485
